"name","sub_class_id","FA_sum","FA_split"
"TG(13:0/18:3(9Z,12Z,15Z)/20:2(11Z,14Z))[iso6]","[GL0301]","51:5","13:0_18:3_20:2"
"TG(13:0/19:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","54:7","13:0_19:1_22:6"
"TG(13:0/20:2(11Z,14Z)/22:2(13Z,16Z))[iso6]","[GL0301]","55:4","13:0_20:2_22:2"
"TG(13:0/20:1(11Z)/21:0)[iso6]","[GL0301]","54:1","13:0_20:1_21:0"
"TG(13:0/20:1(11Z)/22:1(11Z))[iso6]","[GL0301]","55:2","13:0_20:1_22:1"
"TG(13:0/22:0/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","57:3","13:0_22:0_22:3"
"TG(14:0/15:1(9Z)/18:2(9Z,12Z))[iso6]","[GL0301]","47:3","14:0_15:1_18:2"
"TG(14:0/16:0/21:0)[iso6]","[GL0301]","51:0","14:0_16:0_21:0"
"TG(14:0/16:0/17:1(9Z))[iso6]","[GL0301]","47:1","14:0_16:0_17:1"
"TG(14:0/16:1(9Z)/17:2(9Z,12Z))[iso6]","[GL0301]","47:3","14:0_16:1_17:2"
"TG(14:0/18:0/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","54:3","14:0_18:0_22:3"
"TG(14:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","[GL0301]","52:5","14:0_18:1_20:4"
"TG(14:0/18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","54:10","14:0_18:4_22:6"
"TG(14:0/18:1(9Z)/22:2(13Z,16Z))[iso6]","[GL0301]","54:3","14:0_18:1_22:2"
"TG(14:0/19:0/22:1(11Z))[iso6]","[GL0301]","55:1","14:0_19:0_22:1"
"TG(14:0/19:1(9Z)/20:2(11Z,14Z))[iso6]","[GL0301]","53:3","14:0_19:1_20:2"
"TG(14:1(9Z)/21:0/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","57:4","14:1_21:0_22:3"
"TG(14:1(9Z)/20:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","56:8","14:1_20:1_22:6"
"TG(14:1(9Z)/22:3(10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","58:9","14:1_22:3_22:5"
"TG(15:0/16:1(9Z)/18:2(9Z,12Z))[iso6]","[GL0301]","49:3","15:0_16:1_18:2"
"TG(15:0/17:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","[GL0301]","54:5","15:0_17:1_22:4"
"TG(15:0/17:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","52:5","15:0_17:2_20:3"
"TG(15:0/18:2(9Z,12Z)/22:2(13Z,16Z))[iso6]","[GL0301]","55:4","15:0_18:2_22:2"
"TG(15:0/18:4(6Z,9Z,12Z,15Z)/21:0)[iso6]","[GL0301]","54:4","15:0_18:4_21:0"
"TG(15:0/18:4(6Z,9Z,12Z,15Z)/20:3(8Z,11Z,14Z))[iso6]","[GL0301]","53:7","15:0_18:4_20:3"
"TG(15:0/18:1(9Z)/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","55:4","15:0_18:1_22:3"
"TG(15:0/18:3(6Z,9Z,12Z)/22:3(10Z,13Z,16Z))[iso6]","[GL0301]","55:6","15:0_18:3_22:3"
"TG(15:0/18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","55:7","15:0_18:1_22:6"
"TG(15:0/18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","[GL0301]","55:6","15:0_18:1_22:5"
"TG(15:0/18:4(6Z,9Z,12Z,15Z)/19:1(9Z))[iso6]","[GL0301]","52:5","15:0_18:4_19:1"
