feature,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,Ctrl7,DHA1,DHA2,DHA3,DHA4,DHA5,DHA6
LPA_16:2;0,,,,,,,,,,,,,
LPA_16:3;0,,,,,,,,,,,,,
LPA_18:0;0,,,,,,,,,,,,,
LPA_18:1;0,,,,,2.33623004,,0.065307401,,,,,,
LPA_18:2;0,,,,,,,,,,,,,
LPA_18:3;0,,,,,,,,,,,,,
LPA_18:4;0,,,,,,,,,,,,,
LPA_20:0;0,,,,,,,,,,,,,
LPA_20:1;0,,,,,,,,,,,,,
LPA_20:2;0,,,0.315024,,,,,,,0.371782,,,
LPA_20:3;0,,,,,,,,,,,,,
LPA_20:4;0,,,,,,,,,,,,,
LPA_20:5;0,,,,,,,,,,,,,
LPA_22:3;0,,,,,,,,,,,,,
LPA_22:4;0,,,,,,,,,,,,,
LPA_22:5;0,,,,,,,,,,,,,
LPA_22:6;0,,,,,,,,,0.165632,,,,
LPA_24:0;0,,,,,,,,,,,,,
LPA_24:3;0,,,,,,,,,,,,,
LPA_24:6;0,,,,,,,,,,,,,
LPC O-_16:0;0,,,0.761473,1.792170048,8.660829544,0.511200011,,0.665009,0.539025,1.12838,3.785000086,0.505921006,0.32704
LPC O-_16:1;0,,,,,0.787374973,,,,,,,,
LPC O-_16:2;0,,,,,,,,,,,,,
LPC O-_18:0;0,,,,0.908406019,3.758549929,,,,,0.285989,1.52493,,
LPC O-_18:1;0,,,0.462343,1.077059984,4.219110012,0.447564989,,,,0.313901,1.876260042,,
LPC O-_18:2;0,,,,,,,,,,,,,
LPC_12:1;0,,,,,,,,,,,,,
LPC_14:0;0,0.406265,,0.34273,,,,,0.494742,0.505523,0.392764,,,0.6315
LPC_14:1;0,,,,,,,,,,,,,
LPC_14:2;0,,,,,,,,,,,,,
LPC_16:0;0,,,3.01227,5.232759953,26.34950066,1.377920032,2.727380037,,4.61976,7.93666,10.3888998,3.168720007,
LPC_16:1;0,0.636008,0.409212,0.412934,0.851777971,3.583889961,,,0.414948,0.27923,0.375673,1.523200035,,0.427309
LPC_16:2;0,,,,,,,,,,,,,
LPC_16:5;0,,,,,,,,0.302555,,,,,
LPC_18:0;0,,,1.28111,2.221470118,13.77089977,,,1.39416,1.63382,2.20216,5.04241991,0.84186101,
LPC_18:1;0,2.11102,1.58805,1.91271,3.541960001,13.73060036,1.109740019,1.804610014,2.08063,1.41011,2.09572,6.84953022,1.713119984,2.01886
LPC_18:2;0,,,,,0.669440985,,,,,,,1.157670021,
LPC_18:3;0,,,,,,,,,,,,,
LPC_18:5;0,,,,,,,,,,,,,
LPC_18:6;0,,,,,,,,,,,,,
LPC_20:0;0,,,,,,,,,,,,,
LPC_20:1;0,,,,,0.773159027,,,,,,,,
LPC_20:2;0,,,,,,,,,,,,,
LPC_20:3;0,,,,,0.367695004,,,,,,,,
LPC_20:4;0,,,,,0.354934007,,,,,,,,
LPC_20:5;0,,,,,,,,,,,,,
LPC_20:6;0,,,,,,,,,,,,,
LPC_22:0;0,,,,,,,,,,,,,
LPC_22:1;0,,,,,,,,,,,,,
LPC_22:3;0,,,,,,,,,,,,,
LPC_22:4;0,,,,,,,,,,,,,
LPC_22:5;0,,,,,,,,,,,,,
LPC_22:6;0,,,,,,,,0.535337,0.305309,0.291666,,,
LPE O-_16:0;0,,,,1.000280023,1.897109985,,,,,0.11208,1.055109978,,
LPE O-_16:1;0,0.4784,0.523373,0.801351,0.801387012,2.543790102,0.364939988,0.717635989,0.729376,0.581828,1.75744,1.379920006,0.469682008,0.673112
LPE O-_18:0;0,,,0.106741,2.045459986,3.646199942,,,,,0.139889,2.031009912,,
LPE O-_18:1;0,0.547286,0.49387,1.20375,1.746440053,4.780240059,0.536844015,0.683155,0.86928,0.854807,1.99352,2.42821002,0.533873022,0.631632
LPE O-_18:2;0,0.191777,0.231843,0.377335,0.247608006,0.907719016,,,0.193339,0.120318,0.41142,0.371073991,,0.17094
LPE_14:0;0,,,,,,,,,,,,,
LPE_14:1;0,,,,,,,,,,,,,
LPE_16:0;0,0.369969,0.337141,0.348143,1.033010006,2.861089945,0.324102998,0.542122006,0.533654,0.45395,0.692384,1.307610035,,0.449423
LPE_16:1;0,,0.12436,,,0.296783,,0.466123015,,,,,,
LPE_16:2;0,,,,,,,,,,,,,
LPE_18:0;0,1.09297,0.985559,1.47177,3.946029902,7.711559772,1.297690034,1.035099983,1.77678,1.88203,3.20405,4.393700123,0.954258025,1.35945
LPE_18:1;0,1.23734,1.11192,0.930797,1.423910022,3.985300064,0.989941001,1.269180059,1.06149,0.447857,0.670556,1.518970013,0.647880971,1.10094
LPE_18:2;0,,,,,0.313362986,,0.433616012,,,,,,0.117044
LPE_18:3;0,,,,,,,,,,,,,
LPE_20:0;0,,,,,,,,,,,,,
LPE_20:1;0,,,,,,,,,,,,,
LPE_20:2;0,,,0.129411,,,0.305388987,0.529480994,,,,,,
LPE_20:3;0,0.152016,0.148728,,,0.752539992,,0.409175009,0.144834,,,,,
LPE_20:4;0,0.430739,0.292434,0.218959,0.672425985,1.866099954,0.478810012,0.601357996,0.648059,0.100942,0.297336,0.792962015,0.368838996,0.254614
LPE_20:5;0,,,,,,,,,,,,,
LPE_22:0;0,,,,,,,,,,,,,
LPE_22:1;0,,,,,,,,,,,,,
LPE_22:2;0,,,,,,,,,,,,,
LPE_22:3;0,,,,,,,,,,,,,
LPE_22:4;0,,,,,,,,,,,,,
LPE_22:5;0,,,,,,,,0.159265,,,,,
LPE_22:6;0,,,0.104664,,,,,1.2849,0.647251,0.930567,,,0.871411
LPE_24:0;0,,,,,,,,,,,,,
LPE_24:1;0,,,,,,,,,,,,,
LPE_24:4;0,,,,,,,,,,,,,
LPE_24:5;0,,,,,,,,,,,,,
LPE_24:6;0,,,,,,,,,,,,,
LPG_14:1;0,,,,,,,,,,,,,
LPG_16:0;0,,,,,,,0.0273959,,,,,,
LPG_16:1;0,,,,,,,,,,,,,
LPG_18:0;0,,,,,,,,,,,,,
LPG_18:1;0,,,,,,,0.084221996,,,,,,
LPG_18:2;0,,,,,,,,,,,,,
LPG_20:3;0,,,,,,,,,,,,,
LPG_20:4;0,,,,,,,,,,,,,
LPG_22:4;0,,,,,,,,,,,,,
LPG_22:5;0,,,,,,,,,,,,,
LPG_22:6;0,,,,,,,0.032698199,,,,,,
LPI_10:2;0,,,,,,,,,,,,,
LPI_12:4;0,,,,,,,,,,,,,
LPI_12:5;0,,,,,,,,,,,,,
LPI_14:0;0,,,,,,,,,,,,,
LPI_16:0;0,,,,,0.529570997,,,0.123301,,0.269139,,,
LPI_16:1;0,,,,,,,,,,,,,
LPI_18:0;0,0.991734,0.684056,2.46691,4.53606987,8.886300087,3.867579937,2.158459902,2.11224,2.74996,5.04296,3.845700026,4.277910233,1.05211
