"feature","AL_young_1","AL_young_2","AL_young_3","AL_young_4","ALDR_young_1","ALDR_young_2","ALDR_young_3","ALDR_young_4"
"TAG O-_52:2;0",0.102907236,0.70767739,0.527099152,0.22702415,0.306169963,0.253958727,0.065733056,0.253011182
"TAG O-_52:3;0",0.150259751,0.922543844,0.671902284,0.263212531,0.402324801,0.322848891,0.08276441,0.313153834
"TAG O-_52:4;0",0.079647981,0.468468356,0.310823169,0.141113305,0.240327122,0.217164702,0.049273481,0.140176379
"TAG O-_52:5;0",0.024030332,0.13748717,0.088986716,0.050565874,0.079197983,0.036979645,0.014896885,0.044396353
"TAG O-_54:1;0",0.004725824,0.028297503,0.019468742,0.010788597,0.006271018,0.009226916,0.000673255,0.009482221
"TAG O-_54:2;0",0.011796531,0.080820571,0.060014382,0.028933752,0.046078553,0.033602007,0.008600038,0.044416934
"TAG O-_54:3;0",0.054855035,0.325438407,0.251819249,0.099453641,0.119238804,0.107212137,0.02730753,0.095498958
"TAG O-_54:4;0",0.071089089,0.410360493,0.278706849,0.127549537,0.224951763,0.119935289,0.027329473,0.108896194
"TAG O-_54:5;0",0.036672995,0.220753676,0.157250623,0.071140157,0.127069776,0.072545356,0.016354431,0.065616519
"TAG O-_54:6;0",0.053548662,0.320814742,0.23568976,0.099542055,0.16921322,0.109056273,0.026291915,0.129812579
"TAG O-_56:2;0",0.005667092,0.047237927,0.033153332,0.010363669,0.014655281,0.009156823,NA,0.016673132
"TAG O-_56:3;0",0.007256146,0.048395687,0.042780958,0.014769698,0.018954018,0.014264197,0.001681029,0.020663088
