"edge_name","FC_ctrl","FC_exp","FC_exp_ctrl","statistics","p_value","mlog10p","adj_p_value","mlog10padj","perturbation_score","Mode","edge_type","node1_log2FC","node2_log2FC","FA_change"
"LPC_18:2;0 --> PC_40:6;0",49.7850157879436,31.2823369311989,0.628348438502946,-2.72845048018179,0.0259078137035805,1.58656923450675,0.0511239139344925,1.29137590494581,-1.06357778006248,"Decrease","Decrease",0.171442297954542,-0.442598471220872," (22:4)"
"LPE_18:1;0 --> PE_36:4;0",19.3903878828257,12.6069463042918,0.650164730095879,-2.95500396573602,0.018285285665258,1.73789825042705,0.0387133782444134,1.41213892920051,-1.07944822662407,"Decrease","Decrease",0.147355340967451,-0.439889909057201," (18:3)"
"PA_38:5;0 --> LPA_20:4;0",0.63117571966116,0.548825230140575,0.869528426149228,-10.9431134105047,0.00000431449488348344,5.36507004170001,0.0000599185423359509,4.222438760448,-1.08210728049464,"Decrease","Non-change",-0.0684387326018344,-0.270370494023413," (18:1)"
"PA_40:2;0 --> LPA_20:0;0",427.955679781994,322.347365512559,0.753226048259874,-4.4144795520005,0.0022429526611282,2.64917989236788,0.00661216204337541,2.17965651177309,-1.08310448933132,"Decrease","Decrease",0.292954503848265,-0.105963316129745," (20:2)"
"PA_34:1;0 --> LPA_20:0;0",0.36675467457213,0.321643673921956,0.876999520993695,-12.3817158429636,0.00000168814198729842,5.77259102826316,0.0000304990985705249,4.51571299644443,-1.09305188843809,"Decrease","Decrease",0.0838179604662279,-0.105963316129745," (14:1)"
"PS_42:5;0 --> PE_42:5;0",13.7194381620105,10.7211637190426,0.781457927973303,-5.20675845803401,0.000815646411165228,3.08849807036387,0.00308280219287558,2.51105434076121,-1.09876373746244,"Decrease","Decrease",0.157748119705067,-0.192787331040315,""
"LPA_22:1;0 --> PA_42:5;0",0.00856489817769347,0.00674031310743832,0.786969438234874,-5.38284680280892,0.000659388995336923,3.18085830515212,0.00268041626604459,2.57179775522203,-1.0993697894267,"Decrease","Decrease",0.176322654243249,-0.169651886803422," (20:4)"
"PA_36:1;0 --> LPA_20:0;0",0.981602335960315,0.79261118583128,0.807466686655608,-6.27103680974727,0.000240178665053998,3.61946557337291,0.00127624349469869,2.89406645859644,-1.11669689938158,"Decrease","Decrease",0.201836489506787,-0.105963316129745," (16:1)"
"PS_40:6;0 --> LPS_22:6;0",0.00148228336772977,0.00108293452696181,0.730585359411005,-4.27666176783297,0.00269968915325583,2.56868623835858,0.00783874029141782,2.10575372410673,-1.16329442707351,"Decrease","Non-change",-0.63333619848215,-1.09837686950263," (18:0)"
"PE_38:4;0 --> LPE_18:0;0",0.0157473986045665,0.0117317703966768,0.744997360597372,-4.57560774866349,0.0018124119625662,2.74174307998472,0.00562014566656621,2.25025242796011,-1.16439849214804,"Decrease","Non-change",-0.17721686070437,-0.599823150619109," (20:4)"
"PA_38:2;0 --> LPA_20:0;0",29.617915539763,21.2074088097528,0.716033131409305,-4.03242690824472,0.00377528981986875,2.42304970301801,0.0101632802104414,1.99296610038109,-1.16767189520888,"Decrease","Decrease",0.365708081253147,-0.105963316129745," (18:2)"
"PA_42:2;0 --> LPA_20:1;0",1481.24744249945,1066.96528079083,0.720315357298061,-4.11024316826018,0.00338949720472944,2.46986471991093,0.00946962621115131,2.02366716330277,-1.16898556821568,"Decrease","Non-change",0.624149747822056,0.133559689511679," (22:1)"
"LPC_18:0;0 --> PC_28:0;0",0.971330268809911,0.646317877757751,0.665394560955699,-3.36846693855045,0.00980784837262608,2.00842625687958,0.0222110883758914,1.65343015986383,-1.1803883059101,"Decrease","Non-change",-0.868862535602653,-1.45161420593571," (10:0)"
"LPA_18:1;0 --> PA_40:5;0",0.116836727011823,0.0948780732327108,0.812056924729752,-6.97364181145435,0.000115645552595129,3.93687106432469,0.000728835924494884,3.13737022902987,-1.18242832623428,"Decrease","Decrease",0.103650908431007,-0.196260554976579," (22:4)"
"PS_40:4;0 --> LPS_20:0;0",0.0107273368342213,0.00817159183933505,0.761754008997537,-5.09450319994806,0.000936185981971372,3.0286378660905,0.00329488832615899,2.48215930038858,-1.18905203128658,"Decrease","Non-change",-0.518738961200076,-0.903150959002893," (20:4)"
"PA_34:0;0 --> LPA_22:0;0",1.3203941222307,1.11392851459321,0.843633348436389,-9.34312474455376,0.0000140633069817369,4.85191254311097,0.000136112721144668,3.86610128357879,-1.19023222208497,"Decrease","Decrease",0.0406408579290879,-0.204061474780306," (12:0)"
"LPA_18:1;0 --> PA_38:4;0",0.377862266467457,0.318107772582566,0.841861706797236,-9.85827426703538,0.00000944175725750841,5.02494716923836,0.000099690242212394,4.00134734881677,-1.24791967382423,"Decrease","Decrease",0.103650908431007,-0.145019295402111," (20:3)"
"PE_38:5;0 --> LPE_18:0;0",0.0204540098794788,0.0142480556002963,0.696589846404208,-4.02942656585686,0.00379108074984053,2.42123696502314,0.0101721077545226,1.99258904793138,-1.26296235882694,"Decrease","Non-change",-0.0736604686668827,-0.599823150619109," (20:5)"
"PS_38:5;0 --> LPS_18:1;0",0.04020465866389,0.0291670217004204,0.725463731560463,-4.56732085342034,0.00183221711447919,2.73702306449277,0.00562110382668521,2.25017839283551,-1.2673090208612,"Decrease","Non-change",-0.161822986321635,-0.633879036021316," (20:4)"
"PC_40:4;0 --> LPC_22:4;0",0.00609417021779796,0.00421887905338208,0.692281131409964,-4.09679780844272,0.00345300017202481,2.46180340001445,0.0095818629446241,2.01855004541893,-1.30615919691772,"Decrease","Decrease",0.132422610082453,-0.401931167045195," (18:0)"
"PS_40:5;0 --> LPS_20:4;0",0.307630347724969,0.22045780687259,0.716632180482031,-4.63151284080936,0.00168472620089739,2.77347066992699,0.0053088465167813,2.27499983029616,-1.33319421985355,"Decrease","Decrease",0.0763916577520561,-0.432093521998944," (20:1)"
